中文名称,英文名称,功能,食品名称,最大使用量(g/kg)
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,风味发酵乳,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,再制干酪,0.018
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,普通再制干酪,0.018
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,调味再制干酪,0.018
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,冷冻饮品（03.04食用冰除外）,0.020
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,冰淇淋、雪糕类,0.020
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,--,0.020
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,风味冰、冰棍类,0.020
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,其他冷冻饮品,0.020
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,糖果,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,胶基糖果,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,除胶基糖果以外的其他糖果,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,焙烤食品,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,面包,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,糕点,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,中式糕点（月饼除外）,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,西式糕点,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,月饼,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,糕点上彩装,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,饼干,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,夹心及装饰类饼干,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,威化饼干,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,蛋卷,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,其他饼干,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,焙烤食品馅料及表面用挂浆,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,其他焙烤食品,0.015
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,半固体复合调味料,0.005
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,蛋黄酱、沙拉酱,0.005
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,以动物性原料为基料的调味酱,0.005
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,以蔬菜为基料的调味酱,0.005
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,其他半固体复合调味料,0.005
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,饮料类（除外14.01包装饮用水）,0.010
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,果蔬汁类及其饮料,0.010
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,果蔬汁（浆）类饮料,0.010
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,蛋白饮料,0.010
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,含乳饮料,0.010
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,发酵型含乳饮料,0.010
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,配制型含乳饮料,0.010
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,乳酸菌饮料,0.010
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,植物蛋白饮料,0.010
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,复合蛋白饮料,0.010
β－阿朴－8’－胡萝卜素醛,β-Apo-8’-carotenal,着色剂,其他蛋白饮料,0.010
