中文名称,英文名称
丙二醇,1,2-Propanediol (Propylene glycol)
甘油（又名丙三醇）,Glycerine (Glycerol)
异丙醇,Isopropyl alcohol
正丁醇,1-Butanol (Butyl alcohol)
异丁醇,Isobutyl alcohol
正戊醇,1-Pentanol (Amyl alcohol)
2-戊醇,2-Pentanol
异戊醇,Isoamyl alcohol
1-戊烯-3-醇,1-Penten-3-ol
正己醇,1-Hexanol (Hexyl alcohol)
2-己烯-1-醇,2-Hexen-1-ol
4-己烯-1-醇,4-Hexen-1-ol
正庚醇,1-Heptanol (Heptyl alcohol)
正辛醇,1-Octanol (Octyl alcohol)
2-辛醇,2-Octanol
1-辛烯-3-醇,1-Octen-3-ol
顺式-5-辛烯-1-醇,cis-5-Octen-1-ol
正壬醇,1-Nonanol (Nonyl alcohol)
顺式-6-壬烯-1-醇,cis-6-Nonen-1-ol
反式-2-壬烯-1-醇,trans-2-Nonen-1-ol
2,6-壬二烯-1-醇,2,6-Nonadien-1-ol
正癸醇,1-Decanol (Decyl alcohol)
十一醇,Undecyl alcohol
月桂醇(十二醇),Lauryl alcohol (Dodecyl alcohol)
1-十六醇,1-Hexadecanol
小茴香醇,Fenchyl alcohol
叶醇(又名顺式-3-己烯-1-醇),Leaf alcohol (cis-3-Hexen-1-ol)
龙脑,Borneol
芳樟醇,Linalool
氧化芳樟醇,Linalool oxide
异胡薄荷醇,Isopulegol
苏合香醇(又名α-甲基苄醇),Styralyl alcohol (α-Methylbenzyl alcohol)
苯甲醇,Benzyl alcohol
苯乙醇,Phenethyl alcohol
苯丙醇,Phenylpropyl alcohol
玫瑰醇,Rhodinol
α-松油醇,α-Terpineol
金合欢醇,Farnesol
香叶醇,Geraniol
dl-香茅醇,dl-Citronellol
茴香醇,Anisyl alcohol
肉桂醇,Cinnamic alcohol
α-紫罗兰醇(又名甲位紫罗兰醇),α-Ionol
β-紫罗兰醇(又名乙位紫罗兰醇),β-Ionol
二氢-β-紫罗兰醇,Dihydro-β-ionol
橙花醇,Nerol
橙花叔醇,Nerolidol
二甲基苄基原醇,Dimethyl benzyl carbinol
正丙醇,1-Propanol (Propyl alcohol)
3-己醇,3-Hexanol
1-己烯-3-醇,1-Hexen-3-ol
2-乙基己醇,2-Ethyl-1-hexanol
2-庚醇,2-Heptanol
3-辛醇,3-Octanol
顺式-3-辛烯-1-醇,cis-3-Octen-1-ol
2-十一醇,2-Undecanol
对,α-二甲基苄醇,p, α-Dimethylbenzyl alcohol
对-异丙基苄醇,p-Isopropylbenzyl alcohol
对,α,α-三甲基苄醇,p, α, α-Trimethylbenzyl alcohol
β-石竹烯醇,β-Caryophyllene alcohol
龙蒿脑,Estragole
四氢香叶醇,Tetrahydrogeraniol
二氢香芹醇,Dihydrocarveol
1-对-[艹孟]烯-4-醇（又名1-对-薄荷烯-4-醇）,1-p-Menthen-4-ol
紫苏醇,Perilla alcohol
薄荷脑 (dl-薄荷脑, l-薄荷脑),Menthol(dl-Menthol,l-Menthol)
3-(l-薄荷烷氧基)-2-甲基-1,2-丙二醇,3-(l-Menthoxy)-2-methylpropane-1,2-diol
3,5,5-三甲基环己醇,3,5,5-Trimethylcyclohexanol
顺式-2-壬烯-1-醇,cis-2-Nonen-1-ol
反式,反式-2,4-癸二烯醇,(E,E)-2,4-Decadien-1-ol (trans,trans-2,4-Decadien-1-ol)
反式-2-辛烯-4-醇,(E)-2-Octen-4-ol
对-[艹孟]-3-烯-1-醇（又名对-3-薄荷烯-1-醇）,p-Menth-3-en-1-ol
对-[艹孟]-1,8(10)二烯-9-醇（又名对-1,8(10)薄荷二烯-9-醇）,Menthadienol (p-mentha-1,8(10)-dien-9-ol)
柏木烯醇,Cedrenol
脱氢芳樟醇,Dehydrolinalool [(E)-3,7-Dimethyl-1,5,7-octatrien-3-ol]
d-木糖,d-Xylose
d-核糖,d-Ribose
l-鼠李糖,l-Rhamnose
二苯醚,Diphenyl ether
