中文名称,英文名称,来源,供体
α-半乳糖苷酶,Alpha-galactosidase,黑曲霉,
α-淀粉酶,Alpha-amylase,地衣芽孢杆菌,
α-淀粉酶,Alpha-amylase,地衣芽孢杆菌,地衣芽孢杆菌
α-淀粉酶,Alpha-amylase,地衣芽孢杆菌,嗜热脂解芽孢杆菌
α-淀粉酶,Alpha-amylase,黑曲霉,
α-淀粉酶,Alpha-amylase,解淀粉芽孢杆菌,
α-淀粉酶,Alpha-amylase,枯草芽孢杆菌,
α-淀粉酶,Alpha-amylase,枯草芽孢杆菌,嗜热脂解芽孢杆菌
α-淀粉酶,Alpha-amylase,米根霉,
α-淀粉酶,Alpha-amylase,米曲霉,
α-淀粉酶,Alpha-amylase,嗜热脂解芽孢杆菌,
α-淀粉酶,Alpha-amylase,猪或牛的胰腺,
α-乙酰乳酸脱羧酶,Alpha-acetolactate decarboxylase,枯草芽孢杆菌,短小芽孢杆菌
β-淀粉酶,beta-amylase,大麦、山芋、大豆、小麦和麦芽,
β-淀粉酶,beta-amylase,枯草芽孢杆菌,
β-葡聚糖酶,beta-glucanase,地衣芽孢杆菌,
β-葡聚糖酶,beta-glucanase,孤独腐质霉,
β-葡聚糖酶,beta-glucanase,哈次木霉,
β-葡聚糖酶,beta-glucanase,黑曲霉c,
β-葡聚糖酶,beta-glucanase,枯草芽孢杆菌,
β-葡聚糖酶,beta-glucanase,李氏木霉,
β-葡聚糖酶,beta-glucanase,解淀粉芽孢杆菌,解淀粉芽孢杆菌
β-葡聚糖酶,beta-glucanase,Disporotrichum dimorphosporum,
β-葡聚糖酶,beta-glucanase,埃默森篮状菌,
β-葡聚糖酶,beta-glucanase,绿色木霉,
阿拉伯呋喃糖苷酶,Arabinofuranosidease,黑曲霉,
氨基肽酶,Aminopeptidase,米曲霉,
半纤维素酶,Hemicellulase,黑曲霉,
菠萝蛋白酶,Bromelain,菠萝,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),寄生内座壳（栗疫菌）,寄生内座壳（栗疫菌）
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),地衣芽孢杆菌,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),黑曲霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),黑曲霉,黑曲霉
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),解淀粉芽孢杆菌,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),解淀粉芽孢杆菌,解淀粉芽孢杆菌
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),枯草芽孢杆菌,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),寄生内座壳（栗疫菌）,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),米黑根毛霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),米曲霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),乳克鲁维酵母,小牛胃
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),微小毛霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),蜂蜜曲霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),嗜热脂解芽孢杆菌,
单宁酶,Tannase,米曲霉,
多聚半乳糖醛酸酶,Polygalacturonase,黑曲霉c,
多聚半乳糖醛酸酶,Polygalacturonase,米根霉,
甘油磷脂胆固醇酰基转移酶,Glycerophospholipid Cholesterol,地衣芽孢杆菌,杀鲑气单胞菌杀鲑亚种
谷氨酰胺酶,Glutaminase,解淀粉芽孢杆菌,
谷氨酰胺转氨酶,Glutamine Transaminase,茂原链轮丝菌（又名茂源链霉菌）,
果胶裂解酶,Pectinlyase,黑曲霉,
果胶裂解酶,Pectinlyase,黑曲霉,黑曲霉
果胶酶,Pectinase,黑曲霉,
果胶酶,Pectinase,米根霉,
果胶酯酶（果胶甲基酯酶）,Pectinesterase (Pectin methylesterase),黑曲霉,
果胶酯酶（果胶甲基酯酶）,Pectinesterase (Pectin methylesterase),黑曲霉,黑曲霉
果胶酯酶（果胶甲基酯酶）,Pectinesterase (Pectin methylesterase),米曲霉,针尾曲霉
过氧化氢酶,Catalase,黑曲霉,
过氧化氢酶,Catalase,牛、猪或马的肝脏,
过氧化氢酶,Catalase,溶壁微球菌,
核酸酶,Nuclease,橘青霉,
环糊精葡萄糖苷转移酶,Cyclomaltodextin glucanotransferase,地衣芽孢杆菌,高温厌氧杆菌
己糖氧化酶,Hexose oxidase,（多形）汉逊酵母,皱波角叉菜
菊糖酶,Inulinase,黑曲霉,
磷脂酶,Phospholipase,胰腺,
磷脂酶A2,Phospholipase A2,猪胰腺组织,
磷脂酶A2,Phospholipase A2,黑曲霉,猪胰腺组织
磷脂酶C,Phospholipase C,巴斯德毕赤酵母,从土壤中分离的编码磷脂酶C基因的微生物
麦芽碳水化合物水解酶（α-，β-麦芽碳水化合物水解酶）,Malt carbohydrases (alpha-and beta-amylase),麦芽和大麦,
麦芽糖淀粉酶,Maltogenic amylase,枯草芽孢杆菌,嗜热脂解芽孢杆菌
木瓜蛋白酶,Papain,木瓜,
木聚糖酶,Xylanase,Fusarium venenatum,棉状嗜热丝孢菌
木聚糖酶,Xylanase,毕赤氏酵母,
木聚糖酶,Xylanase,孤独腐质霉,
木聚糖酶,Xylanase,黑曲霉,
木聚糖酶,Xylanase,黑曲霉,黑曲霉
木聚糖酶,Xylanase,李氏木霉,
木聚糖酶,Xylanase,绿色木霉,
木聚糖酶,Xylanase,枯草芽孢杆菌,枯草芽孢杆菌
木聚糖酶,Xylanase,米曲霉,棉状嗜热丝孢菌
木聚糖酶,Xylanase,米曲霉,黑曲霉c
凝乳酶A,Chymosin A,大肠杆菌 K-12,小牛前凝乳酶A基因
凝乳酶B,Chymosin B,黑曲霉泡盛变种,小牛前凝乳酶B基因
凝乳酶B,Chymosin B,乳克鲁维酵母,小牛前凝乳酶B基因
凝乳酶或粗制凝乳酶,Chymosin or Rennet,小牛、山羊或羔羊的皱胃,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,戴尔根霉,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,黑曲霉,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,黑曲霉,黑曲霉
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,黑曲霉,埃默森篮状菌
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,米根霉,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,米曲霉,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,雪白根霉,
葡糖氧化酶,Glucose oxidase,黑曲霉,
葡糖氧化酶,Glucose oxidase,米曲霉,黑曲霉
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),橄榄产色链霉菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),橄榄色链霉菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),密苏里游动放线菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),凝结芽孢杆菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),锈棕色链霉菌,
