中文名称,英文名称
丁香叶油,Clove leaf oil (Eugenia spp.)
丁香花蕾酊(提取物),Clove bud tincture (extract) (Eugenia spp.)
丁香花蕾油,Clove bud oil (Eugenia spp.)
罗勒油,Basil oil (Ocimum basilicum L.)
八角茴香油,Anise star oil (Illicium verum Hook,F.)
九里香浸膏,Common Jasmin orange concrete (Murraya paniculata)
广藿香油,Patchouli oil (Pogostemon cablin)
万寿菊油,Tagetes oil (Tagetes spp.)
大茴香脑,trans-Anethole Anise camphor
小豆蔻油,Cardamom oil (Elletaria cardamomum)
小豆蔻酊,Cardamom tincture(Elletaria cardamomum)
小茴香酊,Fennel tincture (Foeniculum vulgare Mill.)
山苍籽油,Litsea cubeba berry oil
山楂酊,Hawthorn fruit tincture (Crataegus spp.)
大蒜油,Garlic oil (Allium sativum L.)
大蒜油树脂,Garlic oleoresin (Allium sativum L.)
天然康酿克油,Cognac oil, green
天然薄荷脑,l-Menthol, natural
云木香油,Costus root oil (Saussures lappa Clanke)
月桂叶油,Bay, sweet, oil (Laurus nobilis L.)
乌梅酊,Wumei tincture (Prunus mume)
布枯叶油,Buchu leaves oil (Barosma spp.)
可可酊,Cocoa tincture (Theobroma cacao Linn.)
可可壳酊,Cocoa husk tincture (Theobroma cacao Linn.)
甘松油,China nardostachys oil (Nardostachys chinensis Batal.)
甘草酊,Licorice tincture (Glycyrrhiza spp.)
甘草流浸膏,Licorice extract (Glycyrrhiza spp.)
冬青油,Wintergreen oil (Gaultheria procumbens L.)
白兰花油,Michelia alba flower oil
白兰叶油,Michelia alba leaf oil
白兰花净油,Michelia alba flower absolute
白兰花浸膏,Michelia alba flower concrete
白芷酊,Angelica dahurica tincture
白柠檬油,Lime oil [Citrus aurantifolia (Christman) Swingle]
白柠檬萜烯,Lime oil terpene
生姜油树脂,Ginger oleoresin (Zingiber officinale Rosc.)
肉豆蔻油,Nutmeg oil (Myristica fragrans Houtt.)
肉豆蔻酊,Nutmeg tincture (Myristica fragrans Houtt.)
中国肉桂油,Cassia oil (Cinnamomum cassia Blume)
中国肉桂皮酊(提取物),Cassia bark tincture (extract) (Cinnamomum cassia Blume)
红茶酊,Black tea tincture (Camellia sinensis)
印蒿油,Davana oil (Artemisia pallens Wall.)
吐鲁酊(提取物),Tolu balsam tincture (extract) (Myroxylon spp.)
吐鲁香膏,Tolu balsam gum (Myroxylon spp.)
豆豉酊,Soya bean fermented tincture
杜松籽油(又名刺柏子油),Juniper berry oil (Juniperus communis L.)
芫荽籽油,Coriander oil (Coriandrum sativum L.)
芹菜花油,Celery flower oil (Apium graveolens L.)
芹菜籽油,Celery seed oil (Apium graveolens L.)
牡荆叶油,Vitex cannabifolia leaf oil
圆柚油,Grapefruit oil, expressed (Citrus paradisi Mact.)
苍术脂(又名苍术硬脂，苍术油),Atractylodes oil(Atractylodes lancea)
枣子酊,Chinese date (common Jujube) tincture (Ziziphus jujuba Mill.)
玫瑰油,Rose oil (Rosa spp.)
玫瑰净油,Rose absolute (Rosa spp.)
玫瑰浸膏,Rose concrete (Rosa spp.)
鸢尾浸膏,Orris concrete (Iris florentina L.)
鸢尾脂(又名鸢尾凝脂),Orris root extract (Iris florentina L.)
杭白菊花油,Chrysanthemum Hang Zhou flower oil (Dendranthema morifolium or Chrysanthemum morifolium)
杭白菊花浸膏(又名杭菊花流浸膏),Chrysanthemum Hang Zhou flower extract (Dendranthema morifolium or Chrysanthemum morifolium)
枫槭油,Maple oil (Acer spp.)
枫槭浸膏,Maple concrete (Acer spp.)
岩蔷薇浸膏(又名赖百当浸膏),Labdanum extract(Cistus ladaniferus)
咖啡酊,Coffee tincture (Coffee spp.)
罗汉果酊,Luohanfruit tincture [Siraitia grosvenorii (Swingle) C.Jeffrey]
金合欢浸膏,Cassie concrete (Acacia farnesiana Willd.)
依兰依兰油,Ylang ylang oil (Cananga odorata Hook.f.and Thomas)
大花茉莉净油,Jasminum grandiflorum absolute
大花茉莉浸膏,Jasminum grandiflorum concrete
小花茉莉净油,Jasminum sambac absolute
小花茉莉浸膏,Jasminum sambac concrete
佛手油,Sarcodactylis oil (Citrus medica var.Sarcodactylis Swingle)
圆叶当归根酊(又名独活酊),Angelica root tincture (extract) (Angelica archangelica L.)
洋葱油,Onion oil (Allium cepa L.)
生姜油,Ginger oil (Zingiber officinale Rosc.)
姜黄油,Turmeric oil (Curcuma longa L.)
姜黄油树脂,Turmeric oleoresin (Curcuma longa L.)
姜黄浸膏,Turmeric extract (Curcuma longa L.)
葫芦巴酊,Fenugreek tincture (extract) (Trigonella foenum graecum L.)
玳玳花油,Daidai flower oil(Citrus aurantium L.‘Daidai’)
玳玳花浸膏,Daidai flower concrete(Citrus aurantium L.‘Daidai’)
玳玳果油,Daidai fruit oil(Citrus aurantium L.‘Daidai’)
柚皮油,Pummelo peel oil [Citrus grandis (L.) Osbeck]
柏木叶油(北美香柏),Cedar leaf oil (Thuja occidentalis L.)
枯茗籽油(又名孜然油),Cumin seed oil (Cuminum cyminum L.)
柠檬油,Lemon oil [Citrus limon (L.) Burm.f.]
无萜柠檬油,Lemon oil, terpeneless [Citrus limon (L.) Burm.f.]
柠檬油萜烯,Terpenes of lemon oil
柠檬叶油,Petitgrain lemon oil [Citrus limon (L.) Burm.f.]
柠檬草油,Lemongrass oil (Cymbopogon citratus DC. and C. flexuosus)
栀子花浸膏,Gardenia flower concrete (Gardenia jasminoides Ellis)
树兰花油,Aglaia odorata flower oil
树兰花酊,Aglaia odorata flower tincture
树兰花浸膏,Aglaia odorata flower concrete
树苔净油,Treemoss absolute (Evernia furfuraceae)
树苔浸膏,Treemoss concrete (Evernia furfuraceae)
香叶油(又名玫瑰香叶油),Geranium oil (geranium rose oil) (Pelargonium graveolens L'Her)
除萜香叶油,Geranium oil terpeneless
香风茶油(又名香茶菜油),Xiang Feng cha oil(Rabdosia spp.)
香柠檬油,Bergamot oil (Citrus aurantium L.subsp. bergamia)
香根油,Vertiver oil (Vetiveria zizanioides Nash.)
香根浸膏,Vertiver concrete (Vetiveria zizanioides Nash.)
香荚兰豆酊,Vanilla bean tincture (Vanilla spp.)
香荚兰豆浸膏(提取物),Vanilla bean concrete (extract) (Vanilla spp.)
香附子油,Cyperus oil (Cupressus sempervirens)
香葱油,Chives oil (Allium schoenoprasum)
香紫苏油,Clary sage oil (Salvia sclarea L.)
香榧子壳浸膏,Torreya grandis shell concrete
橘子油,Mandarin oil (Citrus reticulata Blanco)
除萜橘子油,Mandarin oil, terpeneless
酒花酊,Hops tincture (extract) (Humulus lupulus L.)
酒花浸膏,Hops extract,solid (Humulus lupulus L.)
